Account Number,Legal Name,Owner First Name,Owner Middle Initial,Owner Last Name,Suffix,Legal Entity Owner,Title,Has Website,Social Media Presence,Marketplace Usage,Payment Digital Adoption,Active Social Media Channels,Social Media Posting Frequency,Year Started Digital Adoption,POS (Point of Sales) Usage,Online Ads Usage,E-Wallet Acceptance,Business Size,Monthly Revenue,Number of Employees,Location Type,Formalization Status,Willingness to Develop
ACC00001,Usaha Mandiri,Lucy,B,Johnson,,CV Makmur,Manager,Ya,Ya,Ya,Ya,TikTok,Setiap Hari,<2015,Tidak,Tidak,Ya,Micro,5-15 Juta,1-2 Orang,Online-Only,Dalam Proses,Bersedia
ACC00002,Warung Mandiri,Bob,D,Williams,III,PT Makmur,CEO,Tidak,Tidak,Ya,Ya,TikTok,Setiap Hari,2022-Sekarang,Tidak,Tidak,Tidak,Micro,>30 Juta,6-10 Orang,Pasar,Dalam Proses,Tidak Bersedia
ACC00003,Kios Mandiri,Tom,D,Davis,Jr.,Perorangan Abadi,CEO,Tidak,Ya,Tidak,Tidak,WhatsApp,Beberapa Kali Sebulan,Belum Mengadopsi,Tidak,Tidak,Tidak,Small,15-30 Juta,3-5 Orang,Rumah,Dalam Proses,Bersedia
ACC00004,Usaha Sejahtera,John,,Jones,,PT Bersama,Manager,Tidak,Tidak,Ya,Ya,Facebook,Setiap Hari,Belum Mengadopsi,Ya,Ya,Tidak,Micro,5-15 Juta,3-5 Orang,Pasar,Dalam Proses,Tidak Bersedia
ACC00005,Toko Jaya,Bob,B,Davis,Jr.,Perorangan Abadi,Owner,Ya,Tidak,Ya,Tidak,Instagram,Beberapa Kali Sebulan,Belum Mengadopsi,Tidak,Tidak,Tidak,Small,<5 Juta,3-5 Orang,Pasar,Informal,Bersedia
ACC00006,UMKM Berkah,David,,Smith,,Perorangan Utama,CEO,Tidak,Tidak,Ya,Tidak,Facebook,Setiap Hari,<2015,Tidak,Ya,Tidak,Medium,<5 Juta,>10 Orang,Rumah,Informal,Bersedia
ACC00007,UMKM Maju,David,B,Miller,,UD Makmur,President,Ya,Ya,Ya,Ya,WhatsApp,Tidak Pernah,<2015,Ya,Ya,Tidak,Small,>30 Juta,3-5 Orang,Pasar,Informal,Bersedia
ACC00008,Kios Jaya,Bob,,Martinez,Jr.,PT Utama,President,Ya,Tidak,Ya,Ya,Facebook,Setiap Hari,2022-Sekarang,Tidak,Tidak,Tidak,Medium,15-30 Juta,6-10 Orang,Online-Only,Dalam Proses,Tidak Bersedia
ACC00009,Usaha Mandiri,Bob,A,Garcia,,Perorangan Sentosa,President,Tidak,Ya,Ya,Tidak,WhatsApp,Beberapa Kali Sebulan,2015-2018,Tidak,Tidak,Tidak,Medium,<5 Juta,3-5 Orang,Toko,Formal,Tidak Bersedia
ACC00010,Kios Jaya,Bob,C,Brown,,Perorangan Utama,CEO,Tidak,Tidak,Ya,Tidak,Facebook,Tidak Pernah,2022-Sekarang,Tidak,Tidak,Ya,Micro,>30 Juta,6-10 Orang,Pasar,Informal,Bersedia
ACC00011,Usaha Maju,Jane,A,Johnson,Sr.,Perorangan Bersama,Owner,Tidak,Ya,Ya,Ya,Tidak Ada,Beberapa Kali Seminggu,Belum Mengadopsi,Tidak,Tidak,Tidak,Medium,15-30 Juta,3-5 Orang,Rumah,Formal,Tidak Bersedia
ACC00012,Toko Berkah,Lucy,B,Williams,Jr.,Perorangan Sentosa,President,Tidak,Ya,Ya,Ya,TikTok,Beberapa Kali Seminggu,2019-2021,Tidak,Tidak,Tidak,Medium,>30 Juta,1-2 Orang,Rumah,Informal,Bersedia
ACC00013,Usaha Sejahtera,Jane,D,Johnson,Jr.,Perorangan Abadi,Director,Tidak,Ya,Tidak,Tidak,Tidak Ada,Tidak Pernah,2015-2018,Tidak,Tidak,Tidak,Micro,>30 Juta,>10 Orang,Online-Only,Formal,Bersedia
ACC00014,Warung Berkah,David,C,Davis,,Perorangan Abadi,Manager,Ya,Ya,Ya,Tidak,WhatsApp,Beberapa Kali Seminggu,2022-Sekarang,Ya,Tidak,Ya,Medium,>30 Juta,>10 Orang,Toko,Informal,Bersedia
ACC00015,Toko Berkah,John,B,Rodriguez,Sr.,PT Makmur,President,Tidak,Ya,Tidak,Ya,TikTok,Tidak Pernah,2015-2018,Tidak,Tidak,Ya,Micro,15-30 Juta,>10 Orang,Pasar,Informal,Bersedia
ACC00016,Kios Berkah,Jane,B,Martinez,,CV Utama,President,Tidak,Ya,Tidak,Tidak,Tidak Ada,Setiap Hari,2019-2021,Tidak,Tidak,Ya,Small,5-15 Juta,1-2 Orang,Pasar,Formal,Tidak Bersedia
ACC00017,Kios Jaya,Eve,,Jones,,Perorangan Makmur,Owner,Tidak,Ya,Ya,Ya,Facebook,Beberapa Kali Seminggu,Belum Mengadopsi,Ya,Tidak,Tidak,Micro,>30 Juta,6-10 Orang,Rumah,Informal,Bersedia
ACC00018,Warung Maju,Eve,A,Smith,,PT Bersama,Director,Tidak,Ya,Ya,Tidak,Facebook,Jarang,2022-Sekarang,Tidak,Ya,Tidak,Micro,15-30 Juta,>10 Orang,Pasar,Formal,Bersedia
ACC00019,Warung Berkah,Tom,C,Miller,III,PT Makmur,Owner,Tidak,Ya,Ya,Tidak,TikTok,Jarang,2015-2018,Tidak,Ya,Tidak,Small,<5 Juta,6-10 Orang,Pasar,Formal,Bersedia
ACC00020,Kios Sejahtera,David,,Martinez,III,PT Bersama,CEO,Tidak,Ya,Ya,Tidak,WhatsApp,Tidak Pernah,2015-2018,Ya,Ya,Ya,Micro,<5 Juta,3-5 Orang,Toko,Dalam Proses,Bersedia
ACC00021,Usaha Berkah,John,D,Davis,Jr.,PT Utama,Director,Tidak,Ya,Ya,Tidak,Tidak Ada,Jarang,<2015,Tidak,Tidak,Ya,Small,5-15 Juta,3-5 Orang,Online-Only,Informal,Bersedia
ACC00022,Usaha Mandiri,Alice,A,Williams,Jr.,CV Makmur,Director,Tidak,Tidak,Tidak,Tidak,WhatsApp,Tidak Pernah,Belum Mengadopsi,Ya,Tidak,Tidak,Small,5-15 Juta,6-10 Orang,Rumah,Formal,Bersedia
ACC00023,Warung Berkah,Bob,C,Martinez,,CV Abadi,Manager,Tidak,Ya,Tidak,Ya,Facebook,Beberapa Kali Seminggu,2022-Sekarang,Ya,Ya,Tidak,Medium,5-15 Juta,1-2 Orang,Toko,Informal,Tidak Bersedia
